title,url,count,href,scraped_at
2022 World Cup Stars,https://www.sporcle.com/games/manonthemoon/qatar2022worldcupquiz,173,/games/manonthemoon/qatar2022worldcupquiz,2025-10-13 15:49:34
2014 World Cup Stars,https://www.sporcle.com/games/manonthemoon/2014worldcupquiz,60,/games/manonthemoon/2014worldcupquiz,2025-10-13 15:49:34
Sports Teams in Autumnal Colors,https://www.sporcle.com/games/Red_Bear/sports-teams-in-autumnal-colours,38,/games/Red_Bear/sports-teams-in-autumnal-colours,2025-10-13 15:49:34
Arsenal 20+ Goal Contributions in Single Season,https://www.sporcle.com/games/Famos/arsenal-20-goal-contributions-in-single-season,37,/games/Famos/arsenal-20-goal-contributions-in-single-season,2025-10-13 15:49:34
Premier League Clubs All-Time,https://www.sporcle.com/games/g/premierleaguealltime,37,/games/g/premierleaguealltime,2025-10-13 15:49:34
Every Countrys Highest Rated Player in EAFC 26,https://www.sporcle.com/games/BrickBopBrick/every-countrys-highest-rated-player-in-eafc-26,23,/games/BrickBopBrick/every-countrys-highest-rated-player-in-eafc-26,2025-10-13 15:49:34
Premier League 100 Goals,https://www.sporcle.com/games/g/premierleaguegoalscorers,22,/games/g/premierleaguegoalscorers,2025-10-13 15:49:34
Every Portuguese Gold Player EA FC 26,https://www.sporcle.com/games/dantheman2809/every-portuguese-gold-player-ea-fc-26,22,/games/dantheman2809/every-portuguese-gold-player-ea-fc-26,2025-10-13 15:49:34
Premier League Goal Scorers,https://www.sporcle.com/games/peanut4/200_premier_goals,22,/games/peanut4/200_premier_goals,2025-10-13 15:49:34
Chelsea 20+ Goal Contributions in Single Season,https://www.sporcle.com/games/Famos/chelsea-20-goal-contributions-in-single-season,21,/games/Famos/chelsea-20-goal-contributions-in-single-season,2025-10-13 15:49:34
Premier League Champions by Year,https://www.sporcle.com/games/remix/prem_champions,20,/games/remix/prem_champions,2025-10-13 15:49:34
Liverpool 20+ Goal Contributions in Single Season,https://www.sporcle.com/games/Famos/liverpool-20-goal-contributions-in-single-season,20,/games/Famos/liverpool-20-goal-contributions-in-single-season,2025-10-13 15:49:34
English Football Clubs,https://www.sporcle.com/games/JakePFC/footballclubs,18,/games/JakePFC/footballclubs,2025-10-13 15:49:34
Premier League Hat-Trick Minefield (2013-2014),https://www.sporcle.com/games/manonthemoon/premier-league-hat-trick-minefield-20132014,15,/games/manonthemoon/premier-league-hat-trick-minefield-20132014,2025-10-13 15:49:34
Word Hunt: English Soccer,https://www.sporcle.com/games/nabean/word-hunt-uk-soccer,15,/games/nabean/word-hunt-uk-soccer,2025-10-13 15:49:34
Strive For 5 - FA Premier League Managers Part 1,https://www.sporcle.com/games/bertie87/strive-for-5-fa-premier-league-managers-1,226,/games/bertie87/strive-for-5-fa-premier-league-managers-1,2025-10-13 15:49:34
Famous Premier League Games: Agüeroooo,https://www.sporcle.com/games/treessimontrees/famous-premier-league-games-agueroooooooooooooooooooo,450,/games/treessimontrees/famous-premier-league-games-agueroooooooooooooooooooo,2025-10-13 15:49:34
Premier League Nationalities: South America,https://www.sporcle.com/games/bob050381/premier-league-nationalities-map-click-copy-3,"8,970",/games/bob050381/premier-league-nationalities-map-click-copy-3,2025-10-13 15:49:34
Short Order: Premier League Clubs Per Letter,https://www.sporcle.com/games/bhaskarsinghal/short-order-premier-league-clubs-per-letter,433,/games/bhaskarsinghal/short-order-premier-league-clubs-per-letter,2025-10-13 15:49:34
Foreigners with most Premier League appearances,https://www.sporcle.com/games/lexmith/foreigners-with-most-premier-league-appearances,678,/games/lexmith/foreigners-with-most-premier-league-appearances,2025-10-13 15:49:34
Premier League Managers 2025/26,https://www.sporcle.com/games/Impsman/premier-league-managers-202526,"2,807",/games/Impsman/premier-league-managers-202526,2025-10-13 15:49:34
Top 3 minutes played for Fulham,https://www.sporcle.com/games/guillaumepoisson/top-3-minutes-played-for-fulham,326,/games/guillaumepoisson/top-3-minutes-played-for-fulham,2025-10-13 15:49:34
Watford PL All Time Appearance XI,https://www.sporcle.com/games/bob050381/england-pl-all-time-appearance-xi-copy-86,179,/games/bob050381/england-pl-all-time-appearance-xi-copy-86,2025-10-13 15:49:34
All About... Manchester United,https://www.sporcle.com/games/mucciniale/all-about-manchester-united,"14,090",/games/mucciniale/all-about-manchester-united,2025-10-13 15:49:34
Premier League Player by Club VI,https://www.sporcle.com/games/Ewlesy/premier-league-player-venn-vi,"1,488",/games/Ewlesy/premier-league-player-venn-vi,2025-10-13 15:49:34
What's in a Premier League Name?,https://www.sporcle.com/games/pdigoe/oldham-man-u,"12,336",/games/pdigoe/oldham-man-u,2025-10-13 15:49:34
Ex-Spurs Trophy Winners,https://www.sporcle.com/games/idioteque409/ex-spurs-trophy-winners,267,/games/idioteque409/ex-spurs-trophy-winners,2025-10-13 15:49:34
Word Hunt: Premier League Teams,https://www.sporcle.com/games/sproutcm/word-hunt-epl-teams,"4,333",/games/sproutcm/word-hunt-epl-teams,2025-10-13 15:49:34
Order Up: 10 Youngest Premier League Goalscorers,https://www.sporcle.com/games/Impsman/order-up-youngest-premier-league-goalscorers,504,/games/Impsman/order-up-youngest-premier-league-goalscorers,2025-10-13 15:49:34
Seven Letter Premier League Footballers,https://www.sporcle.com/games/Bdroop/seven-letter-premier-league-footballers,699,/games/Bdroop/seven-letter-premier-league-footballers,2025-10-13 15:49:34
Do they Share a Premier League Club - Battleships 3,https://www.sporcle.com/games/hobbitlife/identify-player-by-stats-copy-22,"1,880",/games/hobbitlife/identify-player-by-stats-copy-22,2025-10-13 15:49:34
Six to Sort: Premier League Champions,https://www.sporcle.com/games/oakley816/short-order---six-to-sort-premier-league,"1,073",/games/oakley816/short-order---six-to-sort-premier-league,2025-10-13 15:49:34
2010s Premier League Stars,https://www.sporcle.com/games/Chilavert/2010s-premier-league-stars,"2,833",/games/Chilavert/2010s-premier-league-stars,2025-10-13 15:49:34
'S' Premier League Players,https://www.sporcle.com/games/Pilgab/s-premier-league-players,"6,139",/games/Pilgab/s-premier-league-players,2025-10-13 15:49:34
Premier League Teams 2025/26,https://www.sporcle.com/games/thebail/premier-league-teams-2025-26,"1,660",/games/thebail/premier-league-teams-2025-26,2025-10-13 15:49:34
Premier League Winners' First XI,https://www.sporcle.com/games/JakePFC/eplsquad1,130,/games/JakePFC/eplsquad1,2025-10-13 15:49:34
Premier League Top Goalscorers by Club,https://www.sporcle.com/games/Freddie/goalpremclub,74,/games/Freddie/goalpremclub,2025-10-13 15:49:34
English Football Champions,https://www.sporcle.com/games/JakePFC/champs,74,/games/JakePFC/champs,2025-10-13 15:49:34
Premier League Clubs,https://www.sporcle.com/games/g/premierleague,66,/games/g/premierleague,2025-10-13 15:49:34
'N' Game,https://www.sporcle.com/games/g/ngame,64,/games/g/ngame,2025-10-13 15:49:34
